"Operator","Schlagwort","Kompetenz","Ähnliche Kompetenz","Unterkompetenz","Referenzrahmen","Evidenzen","Kompetenzbereiche (KMK)","Metaoperator","Unterkompetenz"
"reflektieren","Selbsteinschätzung","<p>Die Lehramtsanwärten reflektieren nach drei Wochen ihren Lernfortschritt.</p>","nein","Wie ein(e) professionelle(r) Lehrer(in) agieren",,"<p>Sie benennen Fortschritte und Probleme.</p>",,,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"planen","Management, Organisation","<p>Die Lehramtsanwärter planen eine Unterrichtseinheit.</p>",,"Wie ein(e) professionelle(r) Lehrer(in) agieren",,"<ul><li><span style=""line-height:1.231;"">Abgabe von einem Planungsdokument</span></li> <li><span style=""line-height:1.231;"">Vorführstunde</span></li> </ul>",,,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"analysieren","Bedingungsanalyse","<p>Die Lehramtsanwärter analysieren die Bedingungen an ihrer Schule hinsichtlich der Besonderheiten für ihre Tätigkeit.</p>","nein","Wie ein(e) professionelle(r) Lehrer(in) agieren",,"<ul><li>Abgabe eines Planungsdokumentes</li> <li>Mündliche Präsentation der Schule</li> <li>Aufschlüsselungen der Besonderheiten der Schule kategorisiert nach Anwendungsfällen</li> </ul>",,,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"analysieren","Bedingungsanalyse","<p>Die Lehramtsanwärter analysieren die Bedingungen bezüglich Informatikunterricht hinsichtlich der Ausstattung mit PCs und anderen für den Informatikunterricht relevanter Faktoren.</p>","ja","Wie ein(e) professionelle(r) Lehrer(in) agieren",,"<ul><li>beschreiben Anzahl der PCs</li> <li></li> </ul>",,,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"erarbeiten","Schriftstück, Wissenschaftliches Arbeiten","<p>Die Lehramtsanwärter protokollieren eine Unterrichtsstunde. Hierbei trennen sie Beobachtung und Interpretation. Es wird vorher ein Beobachtungsziel definiert. </p>","nein","Wie ein(e) professionelle(r) Lehrer(in) agieren",,,,,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"planen","Management","<p>Die Lehramtsanwärter planen eine Unterrichtssequenz.</p>","nein","Wie ein(e) professionelle(r) Lehrer(in) agieren",,,,,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
" beschreiben, erklären","Diagnostik","<p>Die Lehramtsanwärter beschreiben den Lernstand der SuS und ihren eigenen Wissensstand.</p>","nein","Wie ein(e) professionelle(r) Lehrer(in) agieren",,"<p>Die Lehramtsanwärter bringen Beispiele, welchen Stand die SuS bzw. sie selber haben. Sie setzen beides in Beziehung zu einander.</p>",,,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"begründen","Didaktik","<p>Die Lehramtsanwärter begründen ihre Unterrichtsplanung anhand der Lernstandsdiagnostik und dem gewünschten Kompetenzerwerb.</p>","nein","Wie ein(e) professionelle(r) Lehrer(in) agieren",,,,,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"einordnen","Normative Begründung, Rahmenlehrplan","<p>Die Lehramtsanwärter ordnen die Unterrichtseinheit in den Rahmenlehrplan ein.</p>","nein","Wie ein(e) professionelle(r) Lehrer(in) agieren",,"<ul><li>Korrekte Zitierweise des Rahmenlehrplans (RLP)</li> <li>Korrekte Zuordnung zu Inhalten des RLP</li> </ul>",,,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
"erklären","Strukturierung, Lernpsychologie","<p>Die Lehramtsanwärter erklären den lernpsychologischen Aufbau ihres Unterrichts.</p>","nein","Wie ein(e) professionelle(r) Lehrer(in) agieren",,"<ul><li>Lerntheorien werden mit der Unterrichtseinheit verknüpft</li> <li>Psychologisches Wissen wird demonstriert</li> <li>...</li> </ul>",,,"Wie ein(e) professionelle(r) Lehrer(in) agieren"
