2012-09-10 09:53:19.833+0000: Creating new db @ C:\Users\Julian\Documents\NetBeansProjects\Kompetenzmanager\gwt\KompetenzManager\war\database\store\store1\neostore
2012-09-10 09:53:20.097+0000: C:\Users\Julian\Documents\NetBeansProjects\Kompetenzmanager\gwt\KompetenzManager\war\database\store\store1\neostore.relationshiptypestore.db.names non clean shutdown detected
2012-09-10 09:53:20.103+0000: C:\Users\Julian\Documents\NetBeansProjects\Kompetenzmanager\gwt\KompetenzManager\war\database\store\store1\neostore.relationshiptypestore.db non clean shutdown detected
2012-09-10 09:53:20.116+0000: C:\Users\Julian\Documents\NetBeansProjects\Kompetenzmanager\gwt\KompetenzManager\war\database\store\store1\neostore.relationshiptypestore.db.names non clean shutdown detected
2012-09-10 09:53:20.122+0000: C:\Users\Julian\Documents\NetBeansProjects\Kompetenzmanager\gwt\KompetenzManager\war\database\store\store1\neostore.relationshiptypestore.db non clean shutdown detected
2012-09-10 09:53:20.135+0000: C:\Users\Julian\Documents\NetBeansProjects\Kompetenzmanager\gwt\KompetenzManager\war\database\store\store1\neostore.propertystore.db.strings non clean shutdown detected
2012-09-10 09:53:20.149+0000: C:\Users\Julian\Documents\NetBeansProjects\Kompetenzmanager\gwt\KompetenzManager\war\database\store\store1\neostore.propertystore.db.index.keys non clean shutdown detected
2012-09-10 09:53:20.156+0000: C:\Users\Julian\Documents\NetBeansProjects\Kompetenzmanager\gwt\KompetenzManager\war\database\store\store1\neostore.propertystore.db.index non clean shutdown detected
2012-09-10 09:53:20.168+0000: C:\Users\Julian\Documents\NetBeansProjects\Kompetenzmanager\gwt\KompetenzManager\war\database\store\store1\neostore.propertystore.db.arrays non clean shutdown detected
2012-09-10 09:53:20.183+0000: C:\Users\Julian\Documents\NetBeansProjects\Kompetenzmanager\gwt\KompetenzManager\war\database\store\store1\neostore.propertystore.db non clean shutdown detected
2012-09-10 09:53:20.189+0000: C:\Users\Julian\Documents\NetBeansProjects\Kompetenzmanager\gwt\KompetenzManager\war\database\store\store1\neostore.propertystore.db non clean shutdown detected
2012-09-10 09:53:20.199+0000: C:\Users\Julian\Documents\NetBeansProjects\Kompetenzmanager\gwt\KompetenzManager\war\database\store\store1\neostore.relationshipstore.db non clean shutdown detected
2012-09-10 09:53:20.204+0000: C:\Users\Julian\Documents\NetBeansProjects\Kompetenzmanager\gwt\KompetenzManager\war\database\store\store1\neostore.nodestore.db non clean shutdown detected
2012-09-10 09:53:20.204+0000: C:\Users\Julian\Documents\NetBeansProjects\Kompetenzmanager\gwt\KompetenzManager\war\database\store\store1\neostore.nodestore.db non clean shutdown detected
2012-09-10 09:53:20.247+0000: C:\Users\Julian\Documents\NetBeansProjects\Kompetenzmanager\gwt\KompetenzManager\war\database\store\store1\neostore.relationshiptypestore.db.names non clean shutdown detected
2012-09-10 09:53:20.253+0000: C:\Users\Julian\Documents\NetBeansProjects\Kompetenzmanager\gwt\KompetenzManager\war\database\store\store1\neostore.relationshiptypestore.db non clean shutdown detected
2012-09-10 09:53:20.265+0000: C:\Users\Julian\Documents\NetBeansProjects\Kompetenzmanager\gwt\KompetenzManager\war\database\store\store1\neostore.propertystore.db.strings non clean shutdown detected
2012-09-10 09:53:20.277+0000: C:\Users\Julian\Documents\NetBeansProjects\Kompetenzmanager\gwt\KompetenzManager\war\database\store\store1\neostore.propertystore.db.index.keys non clean shutdown detected
2012-09-10 09:53:20.283+0000: C:\Users\Julian\Documents\NetBeansProjects\Kompetenzmanager\gwt\KompetenzManager\war\database\store\store1\neostore.propertystore.db.index non clean shutdown detected
2012-09-10 09:53:20.295+0000: C:\Users\Julian\Documents\NetBeansProjects\Kompetenzmanager\gwt\KompetenzManager\war\database\store\store1\neostore.propertystore.db.arrays non clean shutdown detected
2012-09-10 09:53:20.301+0000: C:\Users\Julian\Documents\NetBeansProjects\Kompetenzmanager\gwt\KompetenzManager\war\database\store\store1\neostore.propertystore.db non clean shutdown detected
2012-09-10 09:53:20.315+0000: C:\Users\Julian\Documents\NetBeansProjects\Kompetenzmanager\gwt\KompetenzManager\war\database\store\store1\neostore.nodestore.db non clean shutdown detected
2012-09-10 09:53:20.350+0000: Opened [C:\Users\Julian\Documents\NetBeansProjects\Kompetenzmanager\gwt\KompetenzManager\war\database\store\store1\nioneo_logical.log.1] clean empty log, version=0, lastTxId=1
